Date,Open,High,Low,Close,Volume,Market Cap
30/12/2020,27360.09,28937.74,27360.09,28840.95,51287442704,5.36E+11
31/12/2020,28841.57,29244.88,28201.99,29001.72,46754964848,5.39E+11
01/01/2021,28994.01,29600.63,28803.59,29374.15,40730301359,5.46E+11
02/01/2021,29376.46,33155.12,29091.18,32127.27,67865420765,5.97E+11
03/01/2021,32129.41,34608.56,32052.32,32782.02,78665235202,6.09E+11
04/01/2021,32810.95,33440.22,28722.76,31971.91,81163475344,5.94E+11
05/01/2021,31977.04,34437.59,30221.19,33992.43,67547324782,6.32E+11
06/01/2021,34013.61,36879.7,33514.03,36824.36,75289433811,6.85E+11
07/01/2021,36833.87,40180.37,36491.19,39371.04,84762141031,7.32E+11
08/01/2021,39381.77,41946.74,36838.64,40797.61,88107519480,7.59E+11
09/01/2021,40788.64,41436.35,38980.88,40254.55,61984162837,7.49E+11
10/01/2021,40254.22,41420.19,35984.63,38356.44,79980747690,7.13E+11
11/01/2021,38346.53,38346.53,30549.6,35566.66,1.23E+11,6.61E+11
12/01/2021,35516.36,36568.53,32697.98,33922.96,74773277909,6.31E+11
13/01/2021,33915.12,37599.96,32584.67,37316.36,69364315979,6.94E+11
14/01/2021,37325.11,39966.41,36868.56,39187.33,63615990033,7.29E+11
15/01/2021,39156.71,39577.71,34659.59,36825.37,67760757881,6.85E+11
16/01/2021,36821.65,37864.37,35633.55,36178.14,57706187875,6.73E+11
17/01/2021,36163.65,36722.35,34069.32,35791.28,52359854336,6.66E+11
18/01/2021,35792.24,37299.29,34883.84,36630.08,49511702429,6.81E+11
19/01/2021,36642.23,37755.89,36069.81,36069.81,57244195486,6.71E+11
20/01/2021,36050.11,36378.33,33570.48,35547.75,66834573161,6.61E+11
21/01/2021,35549.4,35552.68,30250.75,30825.7,75643067688,5.74E+11
22/01/2021,30817.63,33811.85,28953.37,33005.76,77207272511,6.14E+11
23/01/2021,32985.76,33360.98,31493.16,32067.64,48354737975,5.97E+11
24/01/2021,32064.38,32944.01,31106.69,32289.38,48643830599,6.01E+11
25/01/2021,32285.8,34802.74,32087.79,32366.39,59897054838,6.02E+11
26/01/2021,32358.61,32794.55,31030.27,32569.85,60255421470,6.06E+11
27/01/2021,32564.03,32564.03,29367.14,30432.55,62576762015,5.66E+11
28/01/2021,30441.04,33858.31,30023.21,33466.1,76517157706,6.23E+11
29/01/2021,34318.67,38406.26,32064.81,34316.39,1.18E+11,6.39E+11
30/01/2021,34295.94,34834.71,32940.19,34269.52,65141828798,6.38E+11
31/01/2021,34270.88,34288.33,32270.18,33114.36,52754542671,6.16E+11
01/02/2021,33114.58,34638.21,32384.23,33537.18,61400400660,6.24E+11
02/02/2021,33533.2,35896.88,33489.22,35510.29,63088585433,6.61E+11
03/02/2021,35510.82,37480.19,35443.98,37472.09,61166818159,6.98E+11
04/02/2021,37475.1,38592.18,36317.5,36926.06,68838074392,6.88E+11
05/02/2021,36931.55,38225.91,36658.76,38144.31,58598066402,7.10E+11
06/02/2021,38138.39,40846.55,38138.39,39266.01,71326033653,7.31E+11
07/02/2021,39250.19,39621.84,37446.15,38903.44,65500641143,7.24E+11
08/02/2021,38886.83,46203.93,38076.32,46196.46,1.01E+11,8.60E+11
09/02/2021,46184.99,48003.72,45166.96,46481.1,91809846886,8.66E+11
10/02/2021,46469.76,47145.57,43881.15,44918.18,87301089896,8.37E+11
11/02/2021,44898.71,48463.47,44187.76,47909.33,81388911810,8.92E+11
12/02/2021,47877.03,48745.73,46424.98,47504.85,76555041196,8.85E+11
13/02/2021,47491.2,48047.74,46392.28,47105.52,70250456155,8.77E+11
14/02/2021,47114.51,49487.64,47114.51,48717.29,71248675228,9.08E+11
15/02/2021,48696.54,48875.57,46347.48,47945.06,77069903166,8.93E+11
16/02/2021,47944.46,50341.1,47201.3,49199.87,77049582886,9.17E+11
17/02/2021,49207.28,52533.91,49072.38,52149.01,80820545404,9.72E+11
18/02/2021,52140.97,52474.11,51015.76,51679.8,52054723579,9.63E+11
19/02/2021,51675.98,56113.65,50937.28,55888.13,63495496918,1.04E+12
20/02/2021,55887.34,57505.23,54626.56,56099.52,68145460026,1.05E+12
21/02/2021,56068.57,58330.57,55672.61,57539.94,51897585191,1.07E+12
22/02/2021,57532.74,57533.39,48967.57,54207.32,92052420332,1.01E+12
23/02/2021,54204.93,54204.93,45290.59,48824.43,1.06E+11,9.10E+11
24/02/2021,48835.09,51290.14,47213.5,49705.33,63695521388,9.26E+11
25/02/2021,49709.08,51948.97,47093.85,47093.85,54506565949,8.78E+11
26/02/2021,47180.46,48370.79,44454.84,46339.76,3.51E+11,8.64E+11
27/02/2021,46344.77,48253.27,45269.03,46188.45,45910946382,8.61E+11
28/02/2021,46194.02,46716.43,43241.62,45137.77,53443887451,8.41E+11
